playlist_name,URL,score
Confident ,https://open.spotify.com/playlist/5V0ZIWka6vADJkg4wSKlpz,5
Confident ,https://open.spotify.com/playlist/6ufmSdogPe2I4ep5Ufvs37,2
frustrated,https://open.spotify.com/playlist/4z6iB44oms1WO3Qk0lb94Y,3
Confident music,https://open.spotify.com/playlist/2gaZvQijjhUlw2U9iQJuYI,2
Confident,https://open.spotify.com/playlist/0MmvdTjcXUCaynfZRgiUJf,3
Confident mood,https://open.spotify.com/playlist/46uNLlU08GVmgz40Zutwsg,4
Confident boosting playlist <3,https://open.spotify.com/playlist/5SALZttHcMj8J2M1DzM0GF,5
"we should just be the hottest, most confident, bad bitch version of ourselves",https://open.spotify.com/playlist/1ufTUR9g0QOsTk2g9l6hyQ,3
Confident,https://open.spotify.com/playlist/6Muubvhw7BjQsG58YElzFk,5
2021 Worship Playlist | @confidentwomanco ,https://open.spotify.com/playlist/01IjqCLRUZpgwIfXdyhZrs,4
Confident,https://open.spotify.com/playlist/7DLPF60WF3qW4hND8I52TG,4
Confident,https://open.spotify.com/playlist/2uXMDO5YEdfty59RDqhXek,2
Confident,https://open.spotify.com/playlist/6oSHKnChRpspVJjV3tkUx0,3
confident,https://open.spotify.com/playlist/7qiRfLO1cPqIwH8ZIsnXEN,2
confident,https://open.spotify.com/playlist/00Pvy4EZyPJu6n6eadheJp,5
Confident HOE,https://open.spotify.com/playlist/0alop7YkoJSJwKRP8FwQ8W,4
Confident at the gym,https://open.spotify.com/playlist/3al3zxMeysd9kT4xpkaHWD,4
confident,https://open.spotify.com/playlist/5718VDrN24OqP99lmaUa7v,3
Confident,https://open.spotify.com/playlist/5gbOBKbSfbdQUCtdDIh1W1,4
ConfidentðŸ¤,https://open.spotify.com/playlist/1Ud5OohvRrzFQywKv7dToa,3
confident,https://open.spotify.com/playlist/781k6XkdGY9WhzTCahp5Sk,2
confident uwu,https://open.spotify.com/playlist/1WocSSoGqDD1fH0634ZLiK,4
Confident Bitch,https://open.spotify.com/playlist/6W5Ts563FrXRqQMOkbFMe8,5
jealous,https://open.spotify.com/playlist/7qH9bATPQHG6euPLd6sPLd,2
Confidentiel â€¢ Afterwork,https://open.spotify.com/playlist/7vIRlu2K4x5AkFemFPUDb2,1
Confidents ðŸ‘,https://open.spotify.com/playlist/4H6nHbPRV4Ltj7zC6SS1r6,4
